release_date,state,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,location,season
2017-10-24,il,201740,201041,364,600,41354,76,,,,,,,1.45089,1.45089,17,2010/2011
2017-10-24,in,201740,201041,364,84,12861,45,,,,,,,0.653137,0.653137,18,2010/2011
2017-10-24,ks,201740,201041,364,49,8485,40,,,,,,,0.57749,0.57749,20,2010/2011
2017-10-24,ky,201740,201041,364,23,10269,14,,,,,,,0.223975,0.223975,21,2010/2011
2017-10-24,ma,201740,201041,364,216,24328,54,,,,,,,0.887866,0.887866,25,2010/2011
2017-10-24,md,201740,201041,364,99,4717,17,,,,,,,2.09879,2.09879,24,2010/2011
2017-10-24,me,201740,201041,364,26,5979,29,,,,,,,0.434855,0.434855,23,2010/2011
2017-10-24,mi,201740,201041,364,95,16239,53,,,,,,,0.585011,0.585011,26,2010/2011
2017-10-24,mn,201740,201041,364,35,6466,18,,,,,,,0.541293,0.541293,27,2010/2011
2017-10-24,mo,201740,201041,364,90,9672,32,,,,,,,0.930521,0.930521,29,2010/2011
2017-10-24,ms,201740,201041,364,523,17605,45,,,,,,,2.97075,2.97075,28,2010/2011
2017-10-24,mt,201740,201041,364,5,2763,7,,,,,,,0.180963,0.180963,30,2010/2011
2017-10-24,nat,201740,201041,364,9347,746230,1875,2953,3522,,1779,649,444,1.24341,1.25256,US,2010/2011
2017-10-24,nc,201740,201041,364,141,26280,77,,,,,,,0.53653,0.53653,37,2010/2011
2017-10-24,nd,201740,201041,364,43,5956,19,,,,,,,0.721961,0.721961,38,2010/2011
2017-10-24,ne,201740,201041,364,68,2486,12,,,,,,,2.73532,2.73532,31,2010/2011
2017-10-24,nh,201740,201041,364,4,4326,22,,,,,,,0.0924642,0.0924642,33,2010/2011
2017-10-24,nj,201740,201041,364,189,7626,24,,,,,,,2.47836,2.47836,34,2010/2011
2017-10-24,nm,201740,201041,364,142,7232,22,,,,,,,1.9635,1.9635,35,2010/2011
2017-10-24,nv,201740,201041,364,187,11428,33,,,,,,,1.63633,1.63633,32,2010/2011
2017-10-24,oh,201740,201041,364,55,15209,44,,,,,,,0.361628,0.361628,39,2010/2011
2017-10-24,ok,201740,201041,364,29,3025,17,,,,,,,0.958678,0.958678,40,2010/2011
2017-10-24,or,201740,201041,364,38,6089,19,,,,,,,0.624076,0.624076,41,2010/2011
2017-10-24,pa,201740,201041,364,157,17239,64,,,,,,,0.910726,0.910726,42,2010/2011
2017-10-24,ri,201740,201041,364,12,5954,21,,,,,,,0.201545,0.201545,44,2010/2011
2017-10-24,sc,201740,201041,364,54,7054,25,,,,,,,0.765523,0.765523,45,2010/2011
2017-10-24,sd,201740,201041,364,44,5543,18,,,,,,,0.793794,0.793794,46,2010/2011
2017-10-24,tn,201740,201041,364,59,11812,50,,,,,,,0.499492,0.499492,47,2010/2011
2017-10-24,tx,201740,201041,364,1061,50670,97,,,,,,,2.09394,2.09394,48,2010/2011
2017-10-24,ut,201740,201041,364,29,7057,19,,,,,,,0.410939,0.410939,49,2010/2011
2017-10-24,va,201740,201041,364,754,60977,83,,,,,,,1.23653,1.23653,51,2010/2011
2017-10-24,vt,201740,201041,364,40,2946,10,,,,,,,1.35777,1.35777,50,2010/2011
2017-10-24,wa,201740,201041,364,34,3269,16,,,,,,,1.04007,1.04007,53,2010/2011
2017-10-24,wi,201740,201041,364,31,5328,48,,,,,,,0.581832,0.581832,55,2010/2011
2017-10-24,wv,201740,201041,364,170,10694,34,,,,,,,1.58968,1.58968,54,2010/2011
2017-10-24,wy,201740,201041,364,21,4766,27,,,,,,,0.440621,0.440621,56,2010/2011
2017-10-24,ak,201740,201042,363,11,1877,7,,,,,,,0.586042,0.586042,02,2010/2011
2017-10-24,al,201740,201042,363,232,11945,33,,,,,,,1.94224,1.94224,01,2010/2011
2017-10-24,ar,201740,201042,363,17,3306,16,,,,,,,0.514217,0.514217,05,2010/2011
2017-10-24,az,201740,201042,363,240,25174,52,,,,,,,0.953365,0.953365,04,2010/2011
2017-10-24,ca,201740,201042,363,766,34170,126,,,,,,,2.24173,2.24173,06,2010/2011
2017-10-24,co,201740,201042,363,152,18905,12,,,,,,,0.80402,0.80402,08,2010/2011
2017-10-24,ct,201740,201042,363,15,4009,16,,,,,,,0.374158,0.374158,09,2010/2011
2017-10-24,dc,201740,201042,363,74,3070,4,,,,,,,2.41042,2.41042,11,2010/2011
2017-10-24,de,201740,201042,363,14,4154,14,,,,,,,0.337025,0.337025,10,2010/2011
2017-10-24,ga,201740,201042,363,793,39404,62,,,,,,,2.01249,2.01249,13,2010/2011
2017-10-24,hi,201740,201042,363,14,1854,19,,,,,,,0.755124,0.755124,15,2010/2011
2017-10-24,ia,201740,201042,363,10,2457,8,,,,,,,0.407,0.407,19,2010/2011
2017-10-24,id,201740,201042,363,64,4545,11,,,,,,,1.40814,1.40814,16,2010/2011
2017-10-24,il,201740,201042,363,644,41122,76,,,,,,,1.56607,1.56607,17,2010/2011
2017-10-24,in,201740,201042,363,76,13006,45,,,,,,,0.584346,0.584346,18,2010/2011
2017-10-24,ks,201740,201042,363,43,8963,41,,,,,,,0.47975,0.47975,20,2010/2011
2017-10-24,ky,201740,201042,363,25,16010,14,,,,,,,0.156152,0.156152,21,2010/2011
2017-10-24,ma,201740,201042,363,209,28061,53,,,,,,,0.744806,0.744806,25,2010/2011
2017-10-24,md,201740,201042,363,173,11895,20,,,,,,,1.45439,1.45439,24,2010/2011
2017-10-24,me,201740,201042,363,27,6402,30,,,,,,,0.421743,0.421743,23,2010/2011
2017-10-24,mi,201740,201042,363,81,15451,50,,,,,,,0.524238,0.524238,26,2010/2011
2017-10-24,mn,201740,201042,363,33,6332,17,,,,,,,0.521162,0.521162,27,2010/2011
2017-10-24,mo,201740,201042,363,94,9496,32,,,,,,,0.98989,0.98989,29,2010/2011
2017-10-24,ms,201740,201042,363,534,17911,45,,,,,,,2.98141,2.98141,28,2010/2011
2017-10-24,mt,201740,201042,363,5,2690,7,,,,,,,0.185874,0.185874,30,2010/2011
2017-10-24,nat,201740,201042,363,9684,777397,1907,3044,3641,,1898,690,411,1.25726,1.2457,US,2010/2011
2017-10-24,nc,201740,201042,363,116,25377,71,,,,,,,0.457107,0.457107,37,2010/2011
2017-10-24,nd,201740,201042,363,32,5639,20,,,,,,,0.567477,0.567477,38,2010/2011
2017-10-24,ne,201740,201042,363,94,2839,14,,,,,,,3.31103,3.31103,31,2010/2011
2017-10-24,nh,201740,201042,363,17,5790,29,,,,,,,0.29361,0.29361,33,2010/2011
2017-10-24,nj,201740,201042,363,191,8496,25,,,,,,,2.24812,2.24812,34,2010/2011
2017-10-24,nm,201740,201042,363,126,7523,21,,,,,,,1.67486,1.67486,35,2010/2011
2017-10-24,nv,201740,201042,363,171,11335,34,,,,,,,1.5086,1.5086,32,2010/2011
2017-10-24,oh,201740,201042,363,84,16044,47,,,,,,,0.52356,0.52356,39,2010/2011
2017-10-24,ok,201740,201042,363,70,3381,18,,,,,,,2.07039,2.07039,40,2010/2011
2017-10-24,or,201740,201042,363,36,7425,19,,,,,,,0.484848,0.484848,41,2010/2011
2017-10-24,pa,201740,201042,363,161,18273,64,,,,,,,0.881081,0.881081,42,2010/2011
2017-10-24,ri,201740,201042,363,25,6890,21,,,,,,,0.362845,0.362845,44,2010/2011
2017-10-24,sc,201740,201042,363,28,7190,22,,,,,,,0.38943,0.38943,45,2010/2011
2017-10-24,sd,201740,201042,363,43,5436,18,,,,,,,0.791023,0.791023,46,2010/2011
2017-10-24,tn,201740,201042,363,61,12211,50,,,,,,,0.49955,0.49955,47,2010/2011
2017-10-24,tx,201740,201042,363,1090,51887,98,,,,,,,2.10072,2.10072,48,2010/2011
2017-10-24,ut,201740,201042,363,36,8171,20,,,,,,,0.440583,0.440583,49,2010/2011
2017-10-24,va,201740,201042,363,758,61855,84,,,,,,,1.22545,1.22545,51,2010/2011
2017-10-24,vt,201740,201042,363,45,3036,11,,,,,,,1.48221,1.48221,50,2010/2011
2017-10-24,wa,201740,201042,363,28,3096,15,,,,,,,0.904393,0.904393,53,2010/2011
2017-10-24,wi,201740,201042,363,69,5807,43,,,,,,,1.18822,1.18822,55,2010/2011
2017-10-24,wv,201740,201042,363,134,8777,33,,,,,,,1.52672,1.52672,54,2010/2011
2017-10-24,wy,201740,201042,363,23,5206,28,,,,,,,0.441798,0.441798,56,2010/2011
2017-10-24,ak,201740,201043,362,18,1860,8,,,,,,,0.967742,0.967742,02,2010/2011
2017-10-24,al,201740,201043,362,274,12036,36,,,,,,,2.2765,2.2765,01,2010/2011
2017-10-24,ar,201740,201043,362,12,2901,14,,,,,,,0.41365,0.41365,05,2010/2011
2017-10-24,az,201740,201043,362,233,26215,52,,,,,,,0.888804,0.888804,04,2010/2011
2017-10-24,ca,201740,201043,362,666,34733,130,,,,,,,1.91748,1.91748,06,2010/2011
2017-10-24,co,201740,201043,362,175,19238,11,,,,,,,0.909658,0.909658,08,2010/2011
2017-10-24,ct,201740,201043,362,16,4797,22,,,,,,,0.333542,0.333542,09,2010/2011
2017-10-24,dc,201740,201043,362,101,3241,4,,,,,,,3.11632,3.11632,11,2010/2011
2017-10-24,de,201740,201043,362,19,4126,14,,,,,,,0.460494,0.460494,10,2010/2011
2017-10-24,ga,201740,201043,362,881,36901,60,,,,,,,2.38747,2.38747,13,2010/2011
2017-10-24,hi,201740,201043,362,27,1715,18,,,,,,,1.57434,1.57434,15,2010/2011
2017-10-24,ia,201740,201043,362,9,4912,10,,,,,,,0.183225,0.183225,19,2010/2011
2017-10-24,id,201740,201043,362,58,4531,12,,,,,,,1.28007,1.28007,16,2010/2011
2017-10-24,il,201740,201043,362,623,42741,79,,,,,,,1.45762,1.45762,17,2010/2011
2017-10-24,in,201740,201043,362,76,13079,45,,,,,,,0.581084,0.581084,18,2010/2011
2017-10-24,ks,201740,201043,362,53,9850,43,,,,,,,0.538071,0.538071,20,2010/2011
2017-10-24,ky,201740,201043,362,27,17987,15,,,,,,,0.150108,0.150108,21,2010/2011
2017-10-24,ma,201740,201043,362,228,29092,52,,,,,,,0.783721,0.783721,25,2010/2011
2017-10-24,md,201740,201043,362,146,11517,20,,,,,,,1.26769,1.26769,24,2010/2011
2017-10-24,me,201740,201043,362,22,6501,30,,,,,,,0.338409,0.338409,23,2010/2011
2017-10-24,mi,201740,201043,362,152,16496,51,,,,,,,0.921435,0.921435,26,2010/2011
2017-10-24,mn,201740,201043,362,42,6586,18,,,,,,,0.637716,0.637716,27,2010/2011
2017-10-24,mo,201740,201043,362,91,9482,31,,,,,,,0.959713,0.959713,29,2010/2011
2017-10-24,ms,201740,201043,362,538,17090,47,,,,,,,3.14804,3.14804,28,2010/2011
2017-10-24,mt,201740,201043,362,1,2748,7,,,,,,,0.0363901,0.0363901,30,2010/2011
2017-10-24,nat,201740,201043,362,9904,781234,1929,3226,3822,,1754,682,420,1.25734,1.26774,US,2010/2011
2017-10-24,nc,201740,201043,362,136,26606,74,,,,,,,0.511163,0.511163,37,2010/2011
2017-10-24,nd,201740,201043,362,18,5306,20,,,,,,,0.339239,0.339239,38,2010/2011
2017-10-24,ne,201740,201043,362,60,2916,14,,,,,,,2.05761,2.05761,31,2010/2011
2017-10-24,nh,201740,201043,362,10,5593,29,,,,,,,0.178795,0.178795,33,2010/2011
2017-10-24,nj,201740,201043,362,216,7734,23,,,,,,,2.79286,2.79286,34,2010/2011
2017-10-24,nm,201740,201043,362,190,8068,24,,,,,,,2.35498,2.35498,35,2010/2011
2017-10-24,nv,201740,201043,362,241,11238,34,,,,,,,2.14451,2.14451,32,2010/2011
2017-10-24,oh,201740,201043,362,57,17298,49,,,,,,,0.329518,0.329518,39,2010/2011
2017-10-24,ok,201740,201043,362,48,2873,18,,,,,,,1.67073,1.67073,40,2010/2011
2017-10-24,or,201740,201043,362,52,6917,22,,,,,,,0.751771,0.751771,41,2010/2011
2017-10-24,pa,201740,201043,362,133,18442,65,,,,,,,0.72118,0.72118,42,2010/2011
2017-10-24,ri,201740,201043,362,22,6818,21,,,,,,,0.322675,0.322675,44,2010/2011
2017-10-24,sc,201740,201043,362,31,7410,22,,,,,,,0.418354,0.418354,45,2010/2011
2017-10-24,sd,201740,201043,362,44,5491,19,,,,,,,0.801311,0.801311,46,2010/2011
2017-10-24,tn,201740,201043,362,51,12698,52,,,,,,,0.401638,0.401638,47,2010/2011
2017-10-24,tx,201740,201043,362,1117,50622,96,,,,,,,2.20655,2.20655,48,2010/2011
2017-10-24,ut,201740,201043,362,46,6085,15,,,,,,,0.755957,0.755957,49,2010/2011
2017-10-24,va,201740,201043,362,763,60125,83,,,,,,,1.26902,1.26902,51,2010/2011
2017-10-24,vt,201740,201043,362,47,3255,11,,,,,,,1.44393,1.44393,50,2010/2011
2017-10-24,wa,201740,201043,362,30,3141,15,,,,,,,0.95511,0.95511,53,2010/2011
2017-10-24,wi,201740,201043,362,53,5245,46,,,,,,,1.01049,1.01049,55,2010/2011
2017-10-24,wv,201740,201043,362,173,9549,32,,,,,,,1.81171,1.81171,54,2010/2011
2017-10-24,wy,201740,201043,362,22,4487,27,,,,,,,0.490305,0.490305,56,2010/2011
2017-10-24,ak,201740,201044,361,13,1901,8,,,,,,,0.683851,0.683851,02,2010/2011
2017-10-24,al,201740,201044,361,342,12069,35,,,,,,,2.83371,2.83371,01,2010/2011
2017-10-24,ar,201740,201044,361,57,5228,19,,,,,,,1.09028,1.09028,05,2010/2011
2017-10-24,az,201740,201044,361,312,26313,55,,,,,,,1.18573,1.18573,04,2010/2011
2017-10-24,ca,201740,201044,361,887,35153,131,,,,,,,2.52326,2.52326,06,2010/2011
2017-10-24,co,201740,201044,361,193,19862,12,,,,,,,0.971705,0.971705,08,2010/2011
2017-10-24,ct,201740,201044,361,19,4789,20,,,,,,,0.396743,0.396743,09,2010/2011
2017-10-24,dc,201740,201044,361,95,3176,4,,,,,,,2.99118,2.99118,11,2010/2011
2017-10-24,de,201740,201044,361,9,4048,14,,,,,,,0.222332,0.222332,10,2010/2011
2017-10-24,ga,201740,201044,361,1033,38891,62,,,,,,,2.65614,2.65614,13,2010/2011
2017-10-24,hi,201740,201044,361,27,1522,18,,,,,,,1.77398,1.77398,15,2010/2011
2017-10-24,ia,201740,201044,361,18,5017,10,,,,,,,0.35878,0.35878,19,2010/2011
2017-10-24,id,201740,201044,361,88,4816,13,,,,,,,1.82724,1.82724,16,2010/2011
2017-10-24,il,201740,201044,361,625,41966,79,,,,,,,1.4893,1.4893,17,2010/2011
2017-10-24,in,201740,201044,361,107,12704,42,,,,,,,0.842254,0.842254,18,2010/2011
2017-10-24,ks,201740,201044,361,49,10181,43,,,,,,,0.481289,0.481289,20,2010/2011
2017-10-24,ky,201740,201044,361,38,13118,15,,,,,,,0.289678,0.289678,21,2010/2011
2017-10-24,ma,201740,201044,361,225,27695,53,,,,,,,0.812421,0.812421,25,2010/2011
2017-10-24,md,201740,201044,361,147,10111,20,,,,,,,1.45386,1.45386,24,2010/2011
2017-10-24,me,201740,201044,361,9,5100,29,,,,,,,0.176471,0.176471,23,2010/2011
2017-10-24,mi,201740,201044,361,138,15983,51,,,,,,,0.863417,0.863417,26,2010/2011
2017-10-24,mn,201740,201044,361,50,6205,18,,,,,,,0.805802,0.805802,27,2010/2011
2017-10-24,mo,201740,201044,361,100,8564,31,,,,,,,1.16768,1.16768,29,2010/2011
2017-10-24,ms,201740,201044,361,550,16390,45,,,,,,,3.3557,3.3557,28,2010/2011
2017-10-24,mt,201740,201044,361,1,2468,7,,,,,,,0.0405186,0.0405186,30,2010/2011
2017-10-24,nat,201740,201044,361,11020,766753,1947,3451,4397,,1981,736,455,1.43414,1.43723,US,2010/2011
2017-10-24,nc,201740,201044,361,169,26003,70,,,,,,,0.649925,0.649925,37,2010/2011
2017-10-24,nd,201740,201044,361,38,5324,19,,,,,,,0.713749,0.713749,38,2010/2011
2017-10-24,ne,201740,201044,361,11,2920,14,,,,,,,0.376712,0.376712,31,2010/2011
2017-10-24,nh,201740,201044,361,17,5775,30,,,,,,,0.294372,0.294372,33,2010/2011
2017-10-24,nj,201740,201044,361,113,6179,25,,,,,,,1.82877,1.82877,34,2010/2011
2017-10-24,nm,201740,201044,361,151,6345,20,,,,,,,2.37983,2.37983,35,2010/2011
2017-10-24,nv,201740,201044,361,204,11541,35,,,,,,,1.76761,1.76761,32,2010/2011
2017-10-24,oh,201740,201044,361,149,17913,48,,,,,,,0.831798,0.831798,39,2010/2011
2017-10-24,ok,201740,201044,361,49,3009,15,,,,,,,1.62845,1.62845,40,2010/2011
2017-10-24,or,201740,201044,361,57,7452,22,,,,,,,0.764895,0.764895,41,2010/2011
2017-10-24,pa,201740,201044,361,181,18256,66,,,,,,,0.991455,0.991455,42,2010/2011
2017-10-24,ri,201740,201044,361,34,6412,21,,,,,,,0.530256,0.530256,44,2010/2011
2017-10-24,sc,201740,201044,361,32,7186,22,,,,,,,0.44531,0.44531,45,2010/2011
2017-10-24,sd,201740,201044,361,43,5514,19,,,,,,,0.779833,0.779833,46,2010/2011
2017-10-24,tn,201740,201044,361,64,12119,51,,,,,,,0.528096,0.528096,47,2010/2011
2017-10-24,tx,201740,201044,361,1218,51527,99,,,,,,,2.36381,2.36381,48,2010/2011
2017-10-24,ut,201740,201044,361,54,8284,23,,,,,,,0.651859,0.651859,49,2010/2011
2017-10-24,va,201740,201044,361,729,57607,84,,,,,,,1.26547,1.26547,51,2010/2011
2017-10-24,vt,201740,201044,361,34,2714,10,,,,,,,1.25276,1.25276,50,2010/2011
2017-10-24,wa,201740,201044,361,24,3052,15,,,,,,,0.78637,0.78637,53,2010/2011
2017-10-24,wi,201740,201044,361,60,5472,49,,,,,,,1.09649,1.09649,55,2010/2011
2017-10-24,wv,201740,201044,361,196,10653,34,,,,,,,1.83986,1.83986,54,2010/2011
2017-10-24,wy,201740,201044,361,25,4412,28,,,,,,,0.566636,0.566636,56,2010/2011
2017-10-24,ak,201740,201045,360,19,1996,8,,,,,,,0.951904,0.951904,02,2010/2011
2017-10-24,al,201740,201045,360,419,12102,34,,,,,,,3.46224,3.46224,01,2010/2011
2017-10-24,ar,201740,201045,360,58,4844,17,,,,,,,1.19736,1.19736,05,2010/2011
2017-10-24,az,201740,201045,360,239,25282,54,,,,,,,0.945337,0.945337,04,2010/2011
2017-10-24,ca,201740,201045,360,906,32998,126,,,,,,,2.74562,2.74562,06,2010/2011
2017-10-24,co,201740,201045,360,139,19332,12,,,,,,,0.719015,0.719015,08,2010/2011
2017-10-24,ct,201740,201045,360,14,4381,19,,,,,,,0.319562,0.319562,09,2010/2011
2017-10-24,dc,201740,201045,360,69,2962,4,,,,,,,2.32951,2.32951,11,2010/2011
2017-10-24,de,201740,201045,360,25,3146,12,,,,,,,0.79466,0.79466,10,2010/2011
2017-10-24,ga,201740,201045,360,1390,40726,62,,,,,,,3.41305,3.41305,13,2010/2011
2017-10-24,hi,201740,201045,360,19,1618,18,,,,,,,1.17429,1.17429,15,2010/2011
2017-10-24,ia,201740,201045,360,21,5016,10,,,,,,,0.41866,0.41866,19,2010/2011
2017-10-24,id,201740,201045,360,62,4149,13,,,,,,,1.49434,1.49434,16,2010/2011
2017-10-24,il,201740,201045,360,651,41894,80,,,,,,,1.55392,1.55392,17,2010/2011
2017-10-24,in,201740,201045,360,97,12898,43,,,,,,,0.752055,0.752055,18,2010/2011
2017-10-24,ks,201740,201045,360,74,10207,43,,,,,,,0.724993,0.724993,20,2010/2011
2017-10-24,ky,201740,201045,360,34,15247,15,,,,,,,0.222995,0.222995,21,2010/2011
2017-10-24,ma,201740,201045,360,187,25514,54,,,,,,,0.732931,0.732931,25,2010/2011
2017-10-24,md,201740,201045,360,128,9004,21,,,,,,,1.42159,1.42159,24,2010/2011
2017-10-24,me,201740,201045,360,22,6169,31,,,,,,,0.356622,0.356622,23,2010/2011
2017-10-24,mi,201740,201045,360,139,17232,53,,,,,,,0.806639,0.806639,26,2010/2011
2017-10-24,mn,201740,201045,360,45,5487,16,,,,,,,0.82012,0.82012,27,2010/2011
2017-10-24,mo,201740,201045,360,106,8662,31,,,,,,,1.22374,1.22374,29,2010/2011
2017-10-24,ms,201740,201045,360,649,16510,44,,,,,,,3.93095,3.93095,28,2010/2011
2017-10-24,mt,201740,201045,360,6,2460,6,,,,,,,0.243902,0.243902,30,2010/2011
2017-10-24,nat,201740,201045,360,11807,769982,1940,3927,4679,,1956,734,511,1.51838,1.53341,US,2010/2011
2017-10-24,nc,201740,201045,360,115,24116,72,,,,,,,0.476862,0.476862,37,2010/2011
2017-10-24,nd,201740,201045,360,43,5672,18,,,,,,,0.75811,0.75811,38,2010/2011
2017-10-24,ne,201740,201045,360,105,3546,16,,,,,,,2.96108,2.96108,31,2010/2011
2017-10-24,nh,201740,201045,360,16,5256,29,,,,,,,0.304414,0.304414,33,2010/2011
2017-10-24,nj,201740,201045,360,169,7671,25,,,,,,,2.2031,2.2031,34,2010/2011
2017-10-24,nm,201740,201045,360,186,7823,24,,,,,,,2.3776,2.3776,35,2010/2011
2017-10-24,nv,201740,201045,360,75,9314,33,,,,,,,0.805239,0.805239,32,2010/2011
2017-10-24,oh,201740,201045,360,86,16602,44,,,,,,,0.51801,0.51801,39,2010/2011
2017-10-24,ok,201740,201045,360,76,2952,16,,,,,,,2.57453,2.57453,40,2010/2011
2017-10-24,or,201740,201045,360,54,6965,20,,,,,,,0.775305,0.775305,41,2010/2011
2017-10-24,pa,201740,201045,360,184,17799,63,,,,,,,1.03377,1.03377,42,2010/2011
